QC ETBL ID,Property ID,Host ID
500017186,34195497,182103998
960759,34768491,262183439
961852,34020878,253248954
500017040,31693627,217970411
500017040,28987709,217970411
500017040,28916657,217970411
500017040,28988892,217970411
500017040,32203523,217970411
393391857,1898170,3674050
394674760,16242447,24737340
395581184,498830,2462156
26808241,33090236,823036
500016906,31668577,24290215
500016883,13601421,73995257
500016883,13601638,73995257
500016883,15116326,73995257
500016883,15116683,73995257
119770124,17025171,267893
128318179,12124494,39653
128318179,12123570,39653
500016840,13496588,73995257
500016453,27540400,76372377
500016453,25511902,76372377
500016169,11944181,29298651
230258962,12531782,14711467
230258962,2878270,14711467
500015964,25314454,20730806
273989604,4700691,24290215
273989604,17007706,24290215
293210942,453936,1904354
500015596,1183363,1015379
395941499,14042983,9998124
395941509,15043388,9998124
395941509,14680945,9998124
395941559,28412099,9572454
500015480,22376453,161288864
500015480,24210021,161288864
395941609,16395724,24290215
395941609,19764537,24290215
349088785,2338432,11943082
349088785,2339145,11943082
349088785,3719208,11943082
349088785,4795345,11943082
349088785,30559625,11943082
349516983,644898,756145
500015366,21812255,17500046
500015366,20590914,17500046
500015366,20755892,17500046
500015315,23090253,57761284
500015315,23320314,57761284
500015315,23090715,57761284
396176834,9634901,17917316
359657075,4701728,24290215
362869673,609711,1016614
500015175,13134194,36857728
500015107,11698601,55438966
500015107,18568948,55438966
362869681,2857453,1016614
369082818,3406157,1016614
369082818,3369866,1016614
396176844,15956356,103607205
500015276,18079086,95608428
396296727,22341407,66055808
369082826,3521973,1016614
396417589,16790852,17500046
396500769,16794406,96717878
396500769,17000634,96717878
396500769,16987856,96717878
396500769,16987713,96717878
375603995,27582630,83027977
375882081,26174051,73995257
500014952,23318649,166584919
500014952,23337220,166584919
500014927,21134723,119617572
377514015,12802557,28293382
377514015,21354848,28293382
385322974,6634469,34726528
500014924,17601361,119617572
500014838,16175493,42616652
397902378,21864389,144956924
397902378,21864389,144956924
500014909,12672962,28293382
500014909,23000684,28293382
500014909,23042265,28293382
385322984,6644522,34726528
385323024,6812722,24290215
385323034,6438382,24290215
385323034,5668201,24290215
385323034,5809691,24290215
385323034,6438283,24290215
388398710,10852178,56209583
500016093,24863766,17500046
500016093,24011480,17500046
396620514,16476843,24290215
396620514,4727400,24290215
390608871,4792639,24290215
389490152,25372397,191225362
389490152,26109381,191225362
389490152,26109528,191225362
389490152,26720984,191225362
389490152,26721100,191225362
389490152,26721204,191225362
389490152,26721255,191225362
389490152,26721402,191225362
389490152,32749621,191225362
389490152,32749770,191225362
389490152,32749775,191225362
389490152,32749772,191225362
389490152,26721499,191225362
389490152,34335135,191225362
390025452,11279075,57761284
390025452,11270384,57761284
390025452,11279304,57761284
390156069,9752792,1761366
390156069,9751756,1761366
390156069,10511503,1761366
391421717,11570503,9998124
391421717,12242857,9998124
391421717,12232596,9998124
391421717,9952663,9998124
391421717,11070237,9998124
391421717,11694959,9998124
391525410,9428385,24290215
391525410,23055333,24290215
500014986,22917072,27360967
500014986,14977292,27360967
500016786,25266164,58076590
500016786,25265874,58076590
500016786,25266233,58076590
500016786,25266022,58076590
500016786,25265291,58076590
500016786,25139328,58076590
500016786,25265370,58076590
500016786,25265434,58076590
500016786,25265494,58076590
500016786,25265552,58076590
500016786,25265604,58076590
500016786,25265659,58076590
500016786,25266109,58076590
500016786,25265959,58076590
500016786,25223469,58076590
500015431,19717514,58076590
500015431,23325747,58076590
500015431,19136154,58076590
500015431,19086838,58076590
500015431,19057633,58076590
500015431,19093836,58076590
500014986,29515266,27360967
500015188,25132242,187855627
392239341,13163132,56209583
392507356,13376682,1814568
392415053,4165497,21335339
397741677,19207853,56209583
397741677,11641871,56209583
397491472,18764090,7654138
500016065,9752238,1761366
500016065,26318857,1761366
500016065,16122124,1761366
500016065,26329983,1761366
500016065,16214422,1761366
500016065,26318308,1761366
500016065,26331364,1761366
500016065,9752458,1761366
500016065,9674122,1761366
500016065,26317504,1761366
500016065,24774710,1761366
500016065,26331012,1761366
500016065,9750770,1761366
500016065,10655383,1761366
500016065,26329860,1761366
500016065,26330682,1761366
500016065,9751390,1761366
500016065,9807529,1761366
500016065,11990047,1761366
500016065,11990201,1761366
500016065,26330105,1761366